id,score,n_hallu,n_object,len,g_mean_hallu,g_mean_object,g_mean_other,s_mean_hallu,s_mean_object,s_mean_other,quadrant_global,quadrant_soft,image_file
672,0.1857678790887197,2,6,120,0.1759033352136612,-0.02593545118967692,0.07965069799693124,0.07161691784858704,-0.013992244998613993,0.007983215234357235,ideal,ideal,AMBER_672.jpg
673,0.1369948353484109,2,11,136,0.01655676172231324,0.0650326047431339,0.10623512972576678,-0.005347867605451029,0.015741791237484325,0.020950235226109726,sledgehammer,bad_both,AMBER_673.jpg
677,0.6918628188746936,2,16,109,0.4698665322503075,0.03542901554462219,0.06513694002785417,0.22975771623896435,0.013981624117548108,0.011332898472254193,sledgehammer,sledgehammer,AMBER_677.jpg
685,0.354353539839957,8,8,139,0.21196985169081017,0.06761704118375178,0.05469538250803068,0.08254448595107533,0.05346245218404988,0.014858913639572409,sledgehammer,sledgehammer,AMBER_685.jpg
693,0.5461566809963967,2,7,91,0.24645522236824036,0.1309367721966867,0.05019015088860548,0.13192019099369645,0.06725297825011824,0.005281659815609157,sledgehammer,sledgehammer,AMBER_693.jpg
714,-0.0017426470317877807,2,10,89,-0.1061310094082728,0.06791125605814159,0.051561331150902306,-0.05192262900527567,0.007225467206444592,0.006482313168516003,bad_both,bad_both,AMBER_714.jpg
719,0.290114571214983,2,18,99,0.1826252048194874,0.03935502975784604,0.06970245642150985,0.03697672867565416,0.004146174287269686,0.010599380111740128,sledgehammer,sledgehammer,AMBER_719.jpg
720,0.48603771450289057,2,13,110,0.31130096316337585,0.015187142583342323,0.08333881679553949,0.1965421736240387,-0.003121263432778785,0.013619398103219282,sledgehammer,ideal,AMBER_720.jpg
730,0.37039859404205344,2,10,80,0.25637935163103975,0.015072934865020215,0.13091226166740372,0.08093846018891782,-0.020168219646438956,0.02444590916531845,sledgehammer,ideal,AMBER_730.jpg
747,0.5783998748694886,3,18,110,0.38544703523317975,0.03205922245993204,0.096005750170452,0.19386884570121765,0.011071368138661657,0.012580192994631985,sledgehammer,sledgehammer,AMBER_747.jpg
760,0.26145170181070543,3,17,127,0.10374801357587178,0.05349800929228449,0.0639530580673228,0.07086307803789775,0.007996739028933863,0.003678614142387725,sledgehammer,sledgehammer,AMBER_760.jpg
766,0.1393560372059472,3,14,133,0.09081178903579712,0.0020956065574344912,0.1033654493688526,0.03618762890497843,-0.015502144591924403,0.012937900538457238,sledgehammer,ideal,AMBER_766.jpg
770,0.2699394512909413,2,19,115,0.07612636050907895,0.06818203663892507,0.04349614040121254,0.08293066661281046,0.011865713710616737,0.007319497213060497,sledgehammer,sledgehammer,AMBER_770.jpg
772,0.002403162566588443,2,8,113,-0.00526079535484314,0.04797625299306674,0.06618103837274814,-0.10473708808422089,0.020473197503633855,0.01029379617454168,bad_both,bad_both,AMBER_772.jpg
775,0.2309960162610514,2,10,58,0.1393500703270547,0.04864009110024199,0.027836177521195445,-0.016727861191611737,0.00304395971033955,-0.002311202682587622,sledgehammer,bad_both,AMBER_775.jpg
778,0.24559129271656274,2,3,70,0.09754781424999237,0.07161952648311853,0.07533677367680236,0.03221326321363449,0.02672397003819545,0.006932170364371779,sledgehammer,sledgehammer,AMBER_778.jpg
